TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|NUMERIC_PRECISION|NUMERIC_SCALE|IS_NULLABLE|COLUMN_DEFAULT|ORDINAL_POSITION
tblOnlineOrderCompany|PrintWaitressCopyForPickupOrder|bit|NULL|NULL|NULL|NO|((0))|7
tblOnlineOrderCompany|PrintWaitressCopyForDeliveryOrder|bit|NULL|NULL|NULL|NO|((0))|8
tblOnlineOrderCompany|PromptToEnterOnlineOrderNumber|bit|NULL|NULL|NULL|NO|((0))|9
tblOnlineOrderCompany|Integrated|bit|NULL|NULL|NULL|NO|((0))|10
tblOnlineOrderCompany|IntegrationCode|varchar|50|NULL|NULL|NO|('')|11
tblOnlineOrderCompany|APITransactionKey|varchar|100|NULL|NULL|NO|('')|12
tblOnlineOrderCompany|DineInSelfOrderURL|varchar|1000|NULL|NULL|YES|('')|13
tblOnlineOrderCompany|CommissionCalculationType|char|1|NULL|NULL|NO|('A')|14
tblOnlineOrderCompany|ItemInfoSyncAPIEndpointURL|varchar|1000|NULL|NULL|YES|('')|15
tblOnlineOrderCompany|SkipPrintingKitchenCopy|bit|NULL|NULL|NULL|NO|((0))|16
tblOnlineOrderDetail|OrderID|int|NULL|10|0|NO|NULL|1
tblOnlineOrderDetail|ItemType|bit|NULL|NULL|NULL|NO|NULL|2
tblOnlineOrderDetail|ItemIndex|smallint|NULL|5|0|NO|NULL|3
tblOnlineOrderDetail|ItemID|smallint|NULL|5|0|NO|NULL|4
tblOnlineOrderDetail|ItemSizeID|smallint|NULL|5|0|NO|NULL|5
tblOnlineOrderDetail|ItemName|varchar|100|NULL|NULL|NO|NULL|6
tblOnlineOrderDetail|ItemSizeName|varchar|100|NULL|NULL|NO|NULL|7
tblOnlineOrderDetail|ItemQty|smallint|NULL|5|0|NO|NULL|8
tblOnlineOrderDetail|ItemPrice|smallmoney|NULL|10|4|NO|NULL|9
tblOnlineOrderDetail|ItemModifiers|varchar|200|NULL|NULL|NO|NULL|10
tblOnlineOrderDetail|ItemComments|varchar|255|NULL|NULL|YES|NULL|11
tblOnlineOrderDetail|OnlineOrderCompanyID|smallint|NULL|5|0|NO|((0))|12
tblOnlineOrders|OrderID|int|NULL|10|0|NO|NULL|1
tblOnlineOrders|OrderType|varchar|100|NULL|NULL|NO|NULL|2
tblOnlineOrders|FirstName|varchar|100|NULL|NULL|YES|NULL|3
tblOnlineOrders|LastName|varchar|100|NULL|NULL|YES|NULL|4
tblOnlineOrders|PhoneNum|varchar|50|NULL|NULL|YES|NULL|5
tblOnlineOrders|EmailAddress|varchar|100|NULL|NULL|YES|NULL|6
tblOnlineOrders|UserComments|varchar|4000|NULL|NULL|YES|NULL|7
tblOnlineOrders|DeliveryCompanyName|varchar|100|NULL|NULL|YES|NULL|8
tblOnlineOrders|DeliveryLocationName|varchar|100|NULL|NULL|YES|NULL|9
tblOnlineOrders|DeliveryLine1|varchar|100|NULL|NULL|YES|NULL|10
tblOnlineOrders|DeliveryLine2|varchar|100|NULL|NULL|YES|NULL|11
tblOnlineOrders|DeliveryCity|varchar|50|NULL|NULL|YES|NULL|12
tblOnlineOrders|DeliveryState|varchar|50|NULL|NULL|YES|NULL|13
tblOnlineOrders|DeliveryZipCode|varchar|50|NULL|NULL|YES|NULL|14
tblOnlineOrders|DeliveryComments|varchar|4000|NULL|NULL|YES|NULL|15
tblOnlineOrders|SubTotal|smallmoney|NULL|10|4|NO|NULL|16
tblOnlineOrders|Tax|smallmoney|NULL|10|4|NO|NULL|17
tblOnlineOrders|CouponName|varchar|100|NULL|NULL|YES|NULL|18
tblOnlineOrders|Discount|smallmoney|NULL|10|4|YES|NULL|19
tblOnlineOrders|DeliveryCharge|smallmoney|NULL|10|4|YES|NULL|20
tblOnlineOrders|Total|smallmoney|NULL|10|4|NO|NULL|21
tblOnlineOrders|PaymentType|varchar|100|NULL|NULL|NO|NULL|22
tblOnlineOrders|PaymentStatus|varchar|100|NULL|NULL|NO|NULL|23
tblOnlineOrders|CreateDateTime|smalldatetime|NULL|NULL|NULL|NO|NULL|24
tblOnlineOrders|RequestedDateTime|smalldatetime|NULL|NULL|NULL|NO|NULL|25
tblOnlineOrders|Status|bit|NULL|NULL|NULL|NO|NULL|26
tblOnlineOrders|DiscountPercent|float|NULL|53|NULL|NO|((0))|27
tblOnlineOrders|Tip|smallmoney|NULL|10|4|NO|((0))|28
tblOnlineOrders|SalesID|int|NULL|10|0|NO|((0))|29
tblOnlineOrders|AltOrderID|varchar|20|NULL|NULL|NO|('')|30
tblOnlineOrders|TableID|smallint|NULL|5|0|YES|NULL|31
tblOnlineOrders|OnlineOrderCompanyID|smallint|NULL|5|0|NO|((0))|32
tblOrderNumber|ID|int|NULL|10|0|NO|NULL|1
tblOrderNumber|OrderNumber|int|NULL|10|0|NO|((0))|2
tblOrderNumber|CalledDateTime|datetime|NULL|NULL|NULL|NO|(getdate())|3
tblPayment|ID|int|NULL|10|0|NO|NULL|1
tblPayment|SalesID|int|NULL|10|0|NO|NULL|2
tblPayment|PaymentTypeID|tinyint|NULL|3|0|NO|NULL|3
tblPayment|PaidAmount|smallmoney|NULL|10|4|NO|NULL|4
tblPayment|TipAmount|smallmoney|NULL|10|4|YES|NULL|5
tblPayment|CardNumber|varbinary|128|NULL|NULL|YES|NULL|6
tblPayment|CardExpiryDate|varbinary|128|NULL|NULL|YES|NULL|7
tblPayment|AuthorizationNo|varchar|20|NULL|NULL|YES|NULL|8
tblPayment|SequenceNo|varchar|100|NULL|NULL|YES|NULL|9
tblPayment|CardReceipt|nvarchar|4000|NULL|NULL|YES|NULL|10
tblPayment|Voided|bit|NULL|NULL|NULL|NO|((0))|11
tblPayment|BatchNo|varchar|1|NULL|NULL|YES|NULL|12
tblPayment|ItemNo|varchar|3|NULL|NULL|YES|NULL|13
tblPayment|RevisionNo|varchar|1|NULL|NULL|YES|NULL|14
tblPayment|StationName|varchar|20|NULL|NULL|YES|NULL|15
tblPayment|BatchClosed|bit|NULL|NULL|NULL|NO|((0))|16
tblPayment|TrackData|varbinary|128|NULL|NULL|YES|NULL|17
tblPayment|TipAdjusted|bit|NULL|NULL|NULL|YES|((0))|18
tblPayment|PaidDateTime|datetime|NULL|NULL|NULL|YES|NULL|19
tblPaymentType|ID|tinyint|NULL|3|0|NO|NULL|1
tblPaymentType|PaymentType|varchar|20|NULL|NULL|NO|NULL|2
tblPendingOrders|SalesID|int|NULL|10|0|NO|NULL|1
tblPendingOrders|ItemID|smallint|NULL|5|0|NO|NULL|2
tblPendingOrders|SizeID|smallint|NULL|5|0|NO|NULL|3
tblPendingOrders|Qty|smallint|NULL|5|0|YES|NULL|4
tblPendingOrders|UnitPrice|smallmoney|NULL|10|4|NO|NULL|5
tblPendingOrders|Tastes|varchar|2000|NULL|NULL|NO|NULL|6
tblPendingOrders|SideDishes|varchar|200|NULL|NULL|NO|NULL|7
tblPendingOrders|ItemName|varchar|100|NULL|NULL|NO|NULL|8
tblPendingOrders|SizeName|varchar|30|NULL|NULL|NO|NULL|9
tblPendingOrders|ApplyGST|bit|NULL|NULL|NULL|NO|NULL|10
tblPendingOrders|ApplyPST|bit|NULL|NULL|NULL|NO|NULL|11
tblPendingOrders|DSCAmt|smallmoney|NULL|10|4|NO|NULL|12
tblPendingOrders|KitchenB|bit|NULL|NULL|NULL|NO|NULL|13
tblPendingOrders|KitchenF|bit|NULL|NULL|NULL|NO|NULL|14
tblPendingOrders|PersonIndex|tinyint|NULL|3|0|NO|NULL|15
tblPendingOrders|SeparateBillPrint|bit|NULL|NULL|NULL|NO|NULL|16
tblPendingOrders|Bar|bit|NULL|NULL|NULL|NO|NULL|17
tblPendingOrders|ApplyNoDSC|bit|NULL|NULL|NULL|NO|NULL|18
